City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Pangai,TO,2021-08-15 00:35:05,-19.8,-174.35,75.31,50,20,11.5,few clouds
60,Lebu,CL,2021-08-15 00:35:05,-37.6167,-73.65,45.9,86,67,1.83,broken clouds
61,Ribeira Grande,PT,2021-08-15 00:35:05,38.5167,-28.7,71.67,81,85,12.75,overcast clouds
62,Nanortalik,GL,2021-08-15 00:35:06,60.1432,-45.2371,48.24,97,100,5.1,overcast clouds
63,Antofagasta,CL,2021-08-15 00:31:28,-23.65,-70.4,56.48,78,49,5.19,scattered clouds
64,San Quintin,MX,2021-08-15 00:35:06,30.4833,-115.95,74.01,71,11,15.03,few clouds
65,Pringsewu,ID,2021-08-15 00:35:07,-5.3582,104.9744,77.09,85,84,0.6,light rain
66,Grand Gaube,MU,2021-08-15 00:35:07,-20.0064,57.6608,70.2,75,100,5.01,overcast clouds
67,Busselton,AU,2021-08-15 00:35:08,-33.65,115.3333,52.7,75,0,8.3,clear sky
68,Bonfim,BR,2021-08-15 00:35:08,3.0833,-59.95,73.62,94,95,2.51,overcast clouds
69,Brae,GB,2021-08-15 00:35:08,60.3964,-1.353,53.51,93,100,13.38,overcast clouds
70,Saint-Philippe,RE,2021-08-15 00:35:09,-21.3585,55.7679,67.59,77,94,15.08,overcast clouds
71,Souillac,MU,2021-08-15 00:35:09,-20.5167,57.5167,70.18,73,75,11.5,light rain
72,Torbay,CA,2021-08-15 00:30:19,47.6666,-52.7314,72.75,94,90,5.75,overcast clouds
73,Georgetown,MY,2021-08-15 00:30:15,5.4112,100.3354,78.89,92,20,3.44,few clouds
74,Altamira,BR,2021-08-15 00:35:10,-3.2033,-52.2064,75.72,80,83,1.77,broken clouds
75,Banda Aceh,ID,2021-08-15 00:35:10,5.5577,95.3222,77.5,86,100,14.58,overcast clouds
76,Cape Town,ZA,2021-08-15 00:35:09,-33.9258,18.4232,54.12,81,0,2.3,clear sky
77,Kodiak,US,2021-08-15 00:35:11,57.79,-152.4072,62.11,45,1,13.8,clear sky
78,Vence,FR,2021-08-15 00:35:11,43.7216,7.1123,77.02,62,0,4.61,clear sky
79,Eisenerz,AT,2021-08-15 00:35:11,47.5333,14.8833,68.05,87,0,1.81,clear sky
80,Kalmunai,LK,2021-08-15 00:35:12,7.4167,81.8167,79.2,80,100,4.56,overcast clouds
81,Mantua,IT,2021-08-15 00:35:12,45.1667,10.7833,79.84,78,0,1.01,clear sky
