City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Victoria,HK,82.45,light rain,22.2855,114.1577,Mini Hotel Central
179,Sao Jose Da Coroa Grande,BR,73.24,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
182,Naze,JP,81.52,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
184,Labuhan,ID,80.47,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
185,Rabo De Peixe,PT,72.91,broken clouds,37.8,-25.5833,Quinta das Giestas
186,Constantine,DZ,74.61,clear sky,36.365,6.6147,Grand Hotel Cirta
187,Saint Andrews,US,83.98,broken clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
188,Qui Nhon,VN,86.07,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
191,Moncton,CA,77.49,broken clouds,46.1159,-64.8019,"Crowne Plaza Moncton Downtown, an IHG Hotel"
192,Les Cayes,HT,78.96,scattered clouds,18.2,-73.75,Villa Orphee
193,Zeya,RU,72.66,clear sky,53.75,127.2667,Kapital Inn
194,Lagoa,PT,71.04,broken clouds,39.05,-27.9833,Casa Das Faias
195,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
196,Sao Gabriel Da Cachoeira,BR,71.92,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
198,Banamba,ML,71.06,overcast clouds,13.55,-7.45,Kassela de Banamba
199,Bengkulu,ID,77.67,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
201,Erding,DE,70.23,clear sky,48.306,11.9069,Gasthaus & Hotel zum ERDINGER Weissbräu Erding
203,Sumenep,ID,84.24,clear sky,-7.0167,113.8667,OYO 3271 Homestay Pandian
204,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
206,Dharchula,IN,70.57,clear sky,29.85,80.5333,Mahara Hotel
207,Hithadhoo,MV,82.09,broken clouds,-0.6,73.0833,Scoop Guest House
208,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
210,Kumano,JP,72.77,overcast clouds,34.3442,132.5894,ホテル コラソン
212,Brownsville,US,87.91,clear sky,25.9018,-97.4975,University Inn & Suites
216,Ahmadpur East,PK,83.21,clear sky,29.1431,71.2598,Irfan fabrics
217,Hobyo,SO,76.62,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
218,Jhang,PK,74.61,overcast clouds,33.6748,72.6963,Bismallah sentory store
223,Minab,IR,89.1,overcast clouds,27.1467,57.0801,Bam campground
224,Hilton Head Island,US,80.98,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
225,Solok,ID,71.96,overcast clouds,-0.7918,100.6593,Mami Hotel & Restaurant
227,Chegdomyn,RU,71.51,few clouds,51.1167,133.0167,Gostinitsa Bureya
228,Nanning,CN,79.25,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
229,Mackenzie,CA,75.42,clear sky,55.2999,-123.1698,Hilton Shop
230,Uarini,BR,74.66,overcast clouds,-2.99,-65.1083,
232,Pouebo,NC,73.08,few clouds,-20.4,164.5667,RIVÂT LODGE
233,Tura,IN,75.67,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
236,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
237,Yinchuan,CN,75.2,few clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
239,San Policarpo,PH,82.63,scattered clouds,12.1791,125.5072,Manong Aklan Resort
240,Oistins,BB,77.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
241,Jabinyanah,TN,84.0,clear sky,35.035,10.9081,maison belmabrouk
244,Thompson,CA,78.96,broken clouds,55.7435,-97.8558,Burntwood Hotel
245,Innisfail,AU,71.42,overcast clouds,-17.5333,146.0333,Moondarra Motel
246,Buala,SB,85.06,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
248,Marsh Harbour,BS,83.1,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
249,Kibala,TD,75.15,few clouds,9.1104,18.3463,hotel safari
251,Buchanan,LR,75.83,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
257,Santa Cruz De Tenerife,ES,85.59,clear sky,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
259,Alyangula,AU,82.27,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
266,Kinkala,CG,72.72,scattered clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
269,Tabuk,PH,79.43,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
271,Ponta Do Sol,PT,76.12,scattered clouds,32.6667,-17.1,Hotel do Campo
274,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
275,Kottapalli,IN,79.14,overcast clouds,18.4833,79.1,University Guest House
276,Faanui,PF,79.03,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
277,Solnechnyy,RU,74.77,few clouds,50.7214,136.6319,Hotel complex Pastoral
278,Saint-Francois,FR,74.17,clear sky,46.4154,3.9054,Manoir Du Bonheur
281,Sabzevar,IR,71.85,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
282,Kavaratti,IN,81.23,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
284,Port-Gentil,GA,77.07,overcast clouds,-0.7193,8.7815,Fengshui Residence
286,Diffa,NE,79.11,overcast clouds,13.3154,12.6113,ProDAF/Diffa
289,Isangel,VU,75.31,broken clouds,-19.55,169.2667,Tanna Lodge
290,Pemangkat,ID,80.46,overcast clouds,1.1667,108.9667,Ramah Kost KITA
291,Korla,CN,77.49,overcast clouds,41.7597,86.1469,Gulisitan Hotel
295,Camacari,BR,76.77,broken clouds,-12.6975,-38.3242,Hotel Cambuci
299,Komsomolskiy,UZ,77.72,overcast clouds,40.4272,71.7189,Ikathouse
301,Airai,TL,70.18,clear sky,-8.9266,125.4092,Juvinal Martin
302,Loiza,PR,84.18,few clouds,18.4313,-65.8802,Malibu Beachfront
303,Carbonia,IT,79.75,clear sky,39.1672,8.5222,Lu 'Hotel
304,Huilong,CN,77.04,heavy intensity rain,31.8111,121.655,Hilton Garden Inn Qidong
